iter	Logloss
0	0.6815476189
1	0.6713514445
2	0.6623945094
3	0.6547377214
4	0.6488385187
5	0.6428271424
6	0.6377148913
7	0.6320109292
8	0.6278371508
9	0.6233003806
10	0.619565235
11	0.6158200279
12	0.612884291
13	0.6105281673
14	0.6081368884
15	0.6049360793
16	0.602162524
17	0.5994723351
18	0.5966516465
19	0.5945347825
20	0.5925199108
21	0.5905278571
22	0.5888109969
23	0.5862671787
24	0.5845626558
25	0.5829559329
26	0.5815521166
27	0.5800019895
28	0.578271714
29	0.5768465769
30	0.5746251454
31	0.5731310752
32	0.5714836272
33	0.5695441568
34	0.5681696864
35	0.5665730849
36	0.5654503313
37	0.563488462
38	0.5621689705
39	0.5605189473
40	0.5597020508
41	0.5585355776
42	0.5571212207
43	0.5562976165
44	0.555380165
45	0.554755335
46	0.5534535708
47	0.5523696258
48	0.5513096966
49	0.5502279075
50	0.5491166528
51	0.5478314182
52	0.5468524
53	0.5454154647
54	0.5441344224
55	0.5429566899
56	0.5419230523
57	0.5412834295
58	0.5401239635
59	0.5394245108
60	0.5387993813
61	0.5379632002
62	0.5365682476
63	0.5352055157
64	0.5339880763
65	0.5328038758
66	0.5321056209
67	0.5311896667
68	0.5303339616
69	0.5295141903
70	0.5281161833
71	0.5271118916
72	0.5263424278
73	0.5252013479
74	0.5243864876
75	0.5234390314
76	0.5224936713
77	0.521210473
78	0.5200447784
79	0.5193279577
80	0.5183648702
81	0.5172583467
82	0.5163642522
83	0.5152997714
84	0.5141311422
85	0.5133463466
86	0.5125223232
87	0.5113983718
88	0.5109590803
89	0.5102543573
90	0.5088546134
91	0.5078418174
92	0.5070153984
93	0.5062580922
94	0.5055744504
95	0.5044450491
96	0.5032634238
97	0.5026087088
98	0.501148626
99	0.5004235704
100	0.4991058756
101	0.4984947603
102	0.4973241548
103	0.4964571904
104	0.4955497106
105	0.4947169433
106	0.4939771249
107	0.4931708588
108	0.4922701465
109	0.4910626189
110	0.4898305365
111	0.4891103619
112	0.4882353124
113	0.4871125588
114	0.4863949595
115	0.4857091617
116	0.4849839564
117	0.4844393188
118	0.4836770717
119	0.4825260801
120	0.4813252302
121	0.4807622962
122	0.479922971
123	0.478930268
124	0.4778068556
125	0.476971513
126	0.4760199244
127	0.4751513729
128	0.4739859778
129	0.4733622258
130	0.4725263442
131	0.4718482422
132	0.4707815454
133	0.4701274592
134	0.4689938057
135	0.4683025878
136	0.4674100505
137	0.4667429083
138	0.4663569187
139	0.4654341071
140	0.4643873537
141	0.4638734095
142	0.4630996935
143	0.462461029
144	0.4613657348
145	0.4608272659
146	0.4603482375
147	0.4596968463
148	0.4589609807
149	0.458055028
150	0.4571514111
151	0.4564571988
152	0.4557228603
153	0.4551235433
154	0.4544582877
155	0.4533555972
156	0.4526526409
157	0.4518999762
158	0.4507387733
159	0.4496163191
160	0.4487735502
161	0.4479725844
162	0.4472569016
163	0.4466792048
164	0.446083571
165	0.4452981765
166	0.4445010137
167	0.4438728897
168	0.4428960875
169	0.4421870524
170	0.4412872984
171	0.4406880113
172	0.4400463822
173	0.4390723649
174	0.4386502617
175	0.4380778053
176	0.4374003621
177	0.4368688703
178	0.4360613765
179	0.435355845
180	0.4346127027
181	0.4341217862
182	0.4337170811
183	0.4328905423
184	0.4325158419
185	0.4314875644
186	0.4308159904
187	0.4304032001
188	0.4297346506
189	0.4294149589
190	0.4288039036
191	0.4282321359
192	0.4277707151
193	0.4268524252
194	0.4258777191
195	0.4251127769
196	0.4241905942
197	0.4231924712
198	0.4225636285
199	0.4214780964
200	0.4209532823
201	0.420260687
202	0.4196559201
203	0.4190910996
204	0.4186036567
205	0.417827066
206	0.417347828
207	0.4168770045
208	0.4161737489
209	0.4154441417
210	0.4144756941
211	0.4136437353
212	0.4132343886
213	0.4124806758
214	0.412150743
215	0.4117110024
216	0.4110589824
217	0.410520723
218	0.4099517402
219	0.4095228396
220	0.408669021
221	0.4080401484
222	0.4074578102
223	0.4068700519
224	0.4064030914
225	0.4058388698
226	0.4051235763
227	0.4043149146
228	0.4038203448
229	0.4032859783
230	0.4024374899
231	0.4017844817
232	0.4011706714
233	0.4007019441
234	0.4001826099
235	0.3996953467
236	0.3991452591
237	0.3983497732
238	0.3978031592
239	0.3970498955
240	0.3963668527
241	0.3956561407
242	0.3951647451
243	0.3942820297
244	0.3937612282
245	0.3929955674
246	0.3923205797
247	0.3919369857
248	0.3914043559
249	0.3907880303
250	0.3904272243
251	0.3901333452
252	0.3895619368
253	0.3889325552
254	0.3884819445
255	0.3877539544
256	0.3871248422
257	0.3864889026
258	0.3859055163
259	0.3854532587
260	0.3848383704
261	0.3843769496
262	0.3838740552
263	0.383514447
264	0.3829103388
265	0.3823327319
266	0.3816394179
267	0.3811822493
268	0.3805935328
269	0.379876233
270	0.3794423016
271	0.3788813141
272	0.3781544319
273	0.3777108882
274	0.3771971238
275	0.3764309239
276	0.3758475376
277	0.3753435053
278	0.3747786549
279	0.3743219654
280	0.3735669649
281	0.3730820374
282	0.3722180076
283	0.371640251
284	0.3708434774
285	0.3703420802
286	0.3696743392
287	0.3690877488
288	0.3685055902
289	0.3678082337
290	0.367266351
291	0.3666313996
292	0.3662220829
293	0.365774886
294	0.3653035235
295	0.3645286995
296	0.3640263441
297	0.3633961539
298	0.3629069143
299	0.3622127619
300	0.3617378959
301	0.3613978717
302	0.3607848399
303	0.3603076382
304	0.3598528652
305	0.3591434409
306	0.3585165147
307	0.3579245342
308	0.3575115643
309	0.3569845941
310	0.3565012537
311	0.3558182108
312	0.3554035939
313	0.3547579222
314	0.3541917542
315	0.353681134
316	0.3530954719
317	0.3526715122
318	0.351948433
319	0.3513939435
320	0.3509062311
321	0.3502284885
322	0.3497983901
323	0.3493609851
324	0.3488793216
325	0.3484067912
326	0.3480617962
327	0.3477357862
328	0.3473838739
329	0.3469933925
330	0.3467068499
331	0.346403059
332	0.3458056286
333	0.3453075553
334	0.3448620951
335	0.3444283734
336	0.343717332
337	0.3432197677
338	0.342671387
339	0.3423913424
340	0.3420282307
341	0.3415259651
342	0.3411014664
343	0.3403609593
344	0.3400006624
345	0.3395825719
346	0.3390931227
347	0.3385480059
348	0.3381326404
349	0.3378376234
350	0.3374685526
351	0.3371031951
352	0.336689177
353	0.3362765964
354	0.3358313458
355	0.3352240036
356	0.3345796795
357	0.333817642
358	0.3334103616
359	0.3330268574
360	0.3324782072
361	0.3319840566
362	0.3314726578
363	0.3312332784
364	0.3307822784
365	0.3302620459
366	0.3299192668
367	0.3293889428
368	0.3290647595
369	0.3287291971
370	0.3283571917
371	0.3276135703
372	0.3271815255
373	0.3266651558
374	0.3262844066
375	0.3257911245
376	0.3252636153
377	0.3247910551
378	0.3243621245
379	0.3239123223
380	0.3235489411
381	0.3231704677
382	0.3227505206
383	0.3223060187
384	0.3217915356
385	0.3213434702
386	0.3208348862
387	0.3203448381
388	0.3197366874
389	0.3193639933
390	0.3191601285
391	0.3188993984
392	0.3184597476
393	0.3180537248
394	0.3176671363
395	0.3173809231
396	0.3168503596
397	0.316367079
398	0.3159954929
399	0.315731948
400	0.315351079
401	0.314885436
402	0.3146228492
403	0.314234464
404	0.3137913096
405	0.3134350553
406	0.3129639025
407	0.3126510383
408	0.3124166896
409	0.3120739105
410	0.3116449499
411	0.3111489129
412	0.3107590604
413	0.3102645505
414	0.309598127
415	0.3093013133
416	0.3088706459
417	0.3084756429
418	0.3079937099
419	0.30753181
420	0.3072685346
421	0.3068775442
422	0.306599955
423	0.3063705473
424	0.3060060281
425	0.3056343223
426	0.3051930244
427	0.3047997283
428	0.304487463
429	0.3042671285
430	0.3040089138
431	0.3036754175
432	0.3032702333
433	0.3030028554
434	0.3026646877
435	0.3022813333
436	0.302112534
437	0.3017124703
438	0.3013851726
439	0.3008928787
440	0.3002705041
441	0.2998981095
442	0.2993507469
443	0.2990684864
444	0.2987390328
445	0.2984464413
446	0.2980482341
447	0.2977178223
448	0.2974358911
449	0.2969509037
450	0.2966315415
451	0.2962289924
452	0.2957492453
453	0.2954068854
454	0.2950266153
455	0.2944764978
456	0.294003698
457	0.293661907
458	0.2930811559
459	0.2925745782
460	0.2923007621
461	0.2918578174
462	0.2913256368
463	0.291027236
464	0.29076968
465	0.2904622059
466	0.2902027335
467	0.2896350383
468	0.2893280733
469	0.2889781672
470	0.288680006
471	0.2884026564
472	0.2880196014
473	0.2877756105
474	0.2872629241
475	0.2868367784
476	0.2866144076
477	0.286183321
478	0.2859924224
479	0.2856567103
480	0.2854054726
481	0.284976033
482	0.284669607
483	0.2843634205
484	0.284143086
485	0.2838674733
486	0.2836340529
487	0.2830383293
488	0.2828841431
489	0.2825513655
490	0.2823274077
491	0.2820677855
492	0.2817439016
493	0.2815248548
494	0.2811564428
495	0.2807589544
496	0.280383685
497	0.2800561479
498	0.2798262909
499	0.2795572361
500	0.2791511235
501	0.278803134
502	0.2785059909
503	0.2782322048
504	0.2778648708
505	0.2776817578
506	0.2773271505
507	0.277053035
508	0.2766640808
509	0.2764121844
510	0.2760256259
511	0.2757681597
512	0.2754880852
513	0.2751709988
514	0.2748636145
515	0.2745567094
516	0.2741400562
517	0.2736080254
518	0.2733239382
519	0.2729678336
520	0.2726626952
521	0.2723241383
522	0.2721737251
523	0.2718231603
524	0.2716022569
525	0.2713290697
526	0.2711653311
527	0.2709662574
528	0.2706869914
529	0.2703738877
530	0.2701158226
531	0.2699497782
532	0.269597806
533	0.2692759284
534	0.2688424762
535	0.2685020627
536	0.2681233497
537	0.2677274783
538	0.2673276242
539	0.2668025705
540	0.2665464519
541	0.2661963962
542	0.2659321924
543	0.2655746505
544	0.2652425317
545	0.2649831791
546	0.2646981636
547	0.2644957961
548	0.2641319058
549	0.2639090559
550	0.2635893643
551	0.2631931336
552	0.262977201
553	0.2624537045
554	0.2620495683
555	0.2617613787
556	0.2614928628
557	0.2611366684
558	0.2608510541
559	0.2604742276
560	0.260034996
561	0.2597644439
562	0.2593540792
563	0.2591913287
564	0.2590057902
565	0.2585433513
566	0.2581325374
567	0.2578495582
568	0.2574836616
569	0.2572810246
570	0.2569643873
571	0.2565866326
572	0.2563755211
573	0.2561194324
574	0.2556569037
575	0.255358982
576	0.2550503401
577	0.254790089
578	0.2545073195
579	0.2542957289
580	0.2539974179
581	0.253794152
582	0.253481737
583	0.2531937271
584	0.2529532397
585	0.2527246704
586	0.2524423799
587	0.2522099177
588	0.2520212949
589	0.251756103
590	0.2513845169
591	0.2510876582
592	0.2507824899
593	0.2505802571
594	0.2503748651
595	0.2501968427
596	0.2500323255
597	0.2497036354
598	0.2495030796
599	0.2492975828
600	0.2490916218
601	0.2487518222
602	0.2484393773
603	0.2482851012
604	0.2480827935
605	0.2477006219
606	0.247450073
607	0.2472902422
608	0.2469234024
609	0.2466314996
610	0.2463984834
611	0.2460844514
612	0.2458628742
613	0.2455610896
614	0.2453405905
615	0.2450011502
616	0.2447814146
617	0.244541556
618	0.2442873988
619	0.2439600862
620	0.2436560707
621	0.2432543751
622	0.2430132438
623	0.2428397581
624	0.2426123567
625	0.2424322232
626	0.2422748928
627	0.2420241193
628	0.2416349705
629	0.241409231
630	0.2410143927
631	0.2406223692
632	0.2402716846
633	0.2400213453
634	0.2397624418
635	0.2394544287
636	0.2392556096
637	0.2390488102
638	0.2387839178
639	0.2386043083
640	0.2384182757
641	0.2381811871
642	0.2379930583
643	0.2378472716
644	0.2376298118
645	0.237298846
646	0.2370746186
647	0.2368056986
648	0.2365544161
649	0.2362359672
650	0.2360725878
651	0.2358149869
652	0.235652476
653	0.2353948901
654	0.2351798709
655	0.2350231243
